SVC_DT,n,DIAG,year
7/1/2006,259,460,607
7/2/2006,287,460,607
7/3/2006,401,460,607
7/4/2006,1092,460,607
7/5/2006,893,460,607
7/6/2006,1068,460,607
7/7/2006,762,460,607
7/8/2006,451,460,607
7/9/2006,254,460,607
7/10/2006,1082,460,607
7/11/2006,937,460,607
7/12/2006,800,460,607
7/13/2006,767,460,607
7/14/2006,716,460,607
7/15/2006,379,460,607
7/16/2006,252,460,607
7/17/2006,925,460,607
7/18/2006,863,460,607
7/19/2006,706,460,607
7/20/2006,853,460,607
7/21/2006,704,460,607
7/22/2006,368,460,607
7/23/2006,248,460,607
7/24/2006,989,460,607
7/25/2006,814,460,607
7/26/2006,756,460,607
7/27/2006,775,460,607
7/28/2006,733,460,607
7/29/2006,319,460,607
7/30/2006,241,460,607
7/31/2006,832,460,607
8/1/2006,692,460,607
8/2/2006,632,460,607
8/3/2006,770,460,607
8/4/2006,684,460,607
8/5/2006,311,460,607
8/6/2006,243,460,607
8/7/2006,264,460,607
8/8/2006,996,460,607
8/9/2006,787,460,607
8/10/2006,818,460,607
8/11/2006,709,460,607
8/12/2006,353,460,607
8/13/2006,236,460,607
8/14/2006,1008,460,607
8/15/2006,858,460,607
8/16/2006,756,460,607
8/17/2006,853,460,607
8/18/2006,667,460,607
8/19/2006,317,460,607
8/20/2006,216,460,607
8/21/2006,889,460,607
8/22/2006,826,460,607
8/23/2006,754,460,607
8/24/2006,851,460,607
8/25/2006,662,460,607
8/26/2006,364,460,607
8/27/2006,246,460,607
8/28/2006,982,460,607
8/29/2006,843,460,607
8/30/2006,771,460,607
8/31/2006,811,460,607
9/1/2006,712,460,607
9/2/2006,342,460,607
9/3/2006,233,460,607
9/4/2006,276,460,607
9/5/2006,1092,460,607
9/6/2006,924,460,607
9/7/2006,1106,460,607
9/8/2006,864,460,607
9/9/2006,466,460,607
9/10/2006,326,460,607
9/11/2006,1328,460,607
9/12/2006,1284,460,607
9/13/2006,1087,460,607
9/14/2006,1360,460,607
9/15/2006,1081,460,607
9/16/2006,603,460,607
9/17/2006,362,460,607
9/18/2006,1592,460,607
9/19/2006,1400,460,607
9/20/2006,1329,460,607
9/21/2006,1586,460,607
9/22/2006,1355,460,607
9/23/2006,700,460,607
9/24/2006,399,460,607
9/25/2006,1794,460,607
9/26/2006,1857,460,607
9/27/2006,1472,460,607
9/28/2006,1651,460,607
9/29/2006,1399,460,607
9/30/2006,701,460,607
10/1/2006,429,460,607
10/2/2006,1824,460,607
10/3/2006,1715,460,607
10/4/2006,1436,460,607
10/5/2006,1668,460,607
10/6/2006,1373,460,607
10/7/2006,707,460,607
10/8/2006,383,460,607
10/9/2006,381,460,607
10/10/2006,2055,460,607
10/11/2006,1648,460,607
10/12/2006,1713,460,607
10/13/2006,1478,460,607
10/14/2006,720,460,607
10/15/2006,424,460,607
10/16/2006,2017,460,607
10/17/2006,1595,460,607
10/18/2006,1473,460,607
10/19/2006,1525,460,607
10/20/2006,1405,460,607
10/21/2006,601,460,607
10/22/2006,426,460,607
10/23/2006,1881,460,607
10/24/2006,1617,460,607
10/25/2006,1415,460,607
10/26/2006,1629,460,607
10/27/2006,1388,460,607
10/28/2006,698,460,607
10/29/2006,376,460,607
10/30/2006,1905,460,607
10/31/2006,1566,460,607
11/1/2006,1591,460,607
11/2/2006,1713,460,607
11/3/2006,1539,460,607
11/4/2006,784,460,607
11/5/2006,535,460,607
11/6/2006,2105,460,607
11/7/2006,1952,460,607
11/8/2006,1671,460,607
11/9/2006,1836,460,607
11/10/2006,1573,460,607
11/11/2006,845,460,607
11/12/2006,532,460,607
11/13/2006,2232,460,607
11/14/2006,2151,460,607
11/15/2006,1723,460,607
11/16/2006,1947,460,607
11/17/2006,1584,460,607
11/18/2006,927,460,607
11/19/2006,578,460,607
11/20/2006,2206,460,607
11/21/2006,2057,460,607
11/22/2006,1835,460,607
11/23/2006,2014,460,607
11/24/2006,1588,460,607
11/25/2006,947,460,607
11/26/2006,686,460,607
11/27/2006,2360,460,607
11/28/2006,2046,460,607
11/29/2006,1897,460,607
11/30/2006,1839,460,607
12/1/2006,1566,460,607
12/2/2006,934,460,607
12/3/2006,697,460,607
12/4/2006,2546,460,607
12/5/2006,2266,460,607
12/6/2006,1946,460,607
12/7/2006,2069,460,607
12/8/2006,1687,460,607
12/9/2006,1059,460,607
12/10/2006,816,460,607
12/11/2006,2691,460,607
12/12/2006,2302,460,607
12/13/2006,2013,460,607
12/14/2006,2295,460,607
12/15/2006,1898,460,607
12/16/2006,1094,460,607
12/17/2006,793,460,607
12/18/2006,2960,460,607
12/19/2006,2505,460,607
12/20/2006,2206,460,607
12/21/2006,2548,460,607
12/22/2006,2022,460,607
12/23/2006,1285,460,607
12/24/2006,928,460,607
12/25/2006,413,460,607
12/26/2006,1048,460,607
12/27/2006,2598,460,607
12/28/2006,2590,460,607
12/29/2006,2317,460,607
12/30/2006,1582,460,607
12/31/2006,1073,460,607
1/1/2007,865,460,607
1/2/2007,3679,460,607
1/3/2007,2919,460,607
1/4/2007,3037,460,607
