"","Pandemic","Diagnosis","Type","Diffdays","Counts"
"1","Non-pandemic","Influenza","Admission to Discharge",1,2718
"2","Non-pandemic","Influenza","Admission to Discharge",2,2476.66666666667
"3","Non-pandemic","Influenza","Admission to Discharge",3,2189
"4","Non-pandemic","Influenza","Admission to Discharge",4,1588
"5","Non-pandemic","Influenza","Admission to Discharge",5,1149.66666666667
"6","Non-pandemic","Influenza","Admission to Discharge",6,858.333333333333
"7","Non-pandemic","Influenza","Admission to Discharge",7,688.666666666667
"8","Non-pandemic","Influenza","Admission to Discharge",8,492.666666666667
"9","Non-pandemic","Influenza","Admission to Discharge",9,390
"10","Non-pandemic","Influenza","Admission to Discharge",10,296.333333333333
"11","Non-pandemic","Influenza","Admission to Discharge",11,261.666666666667
"12","Non-pandemic","Influenza","Admission to Discharge",12,203
"13","Non-pandemic","Influenza","Admission to Discharge",13,173.666666666667
"14","Non-pandemic","Influenza","Admission to Discharge",14,173.666666666667
"15","Non-pandemic","Influenza","Admission to Discharge",15,133
"16","Non-pandemic","Influenza","Admission to Discharge",16,105
"17","Non-pandemic","Influenza","Admission to Discharge",17,88.6666666666667
"18","Non-pandemic","Influenza","Admission to Discharge",18,79.6666666666667
"19","Non-pandemic","Influenza","Admission to Discharge",19,67.6666666666667
"20","Non-pandemic","Influenza","Admission to Discharge",20,68.3333333333333
"21","Non-pandemic","Influenza","Admission to Discharge",21,56.3333333333333
"22","Non-pandemic","Influenza","Admission to Discharge",22,50.3333333333333
"23","Non-pandemic","Influenza","Admission to Discharge",23,46.3333333333333
"24","Non-pandemic","Influenza","Admission to Discharge",24,46.3333333333333
"25","Non-pandemic","Influenza","Admission to Discharge",25,34.6666666666667
"26","Non-pandemic","Influenza","Admission to Discharge",26,31
"27","Non-pandemic","Influenza","Admission to Discharge",27,33.6666666666667
"28","Non-pandemic","Influenza","Admission to Discharge",28,29
"29","Non-pandemic","Influenza","Admission to Discharge",29,30.6666666666667
"30","Non-pandemic","Influenza","Admission to Discharge",30,21
"31","Non-pandemic","Influenza","Admission to Discharge",31,28.6666666666667
"32","Non-pandemic","Influenza","Admission to Discharge",32,21
"33","Non-pandemic","Influenza","Admission to Discharge",33,21.3333333333333
"34","Non-pandemic","Influenza","Admission to Discharge",34,18
"35","Non-pandemic","Influenza","Admission to Discharge",35,17.6666666666667
"36","Non-pandemic","Influenza","Admission to Discharge",36,14.6666666666667
"37","Non-pandemic","Influenza","Admission to Discharge",37,16
"38","Non-pandemic","Influenza","Admission to Discharge",38,12
"39","Non-pandemic","Influenza","Admission to Discharge",39,12.3333333333333
"40","Non-pandemic","Influenza","Admission to Discharge",40,12
"41","Non-pandemic","Influenza","Admission to Discharge",41,8.66666666666667
"42","Non-pandemic","Influenza","Admission to Discharge",42,7.33333333333333
"43","Non-pandemic","Influenza","Admission to Discharge",43,10.3333333333333
"44","Non-pandemic","Influenza","Admission to Discharge",44,7
"45","Non-pandemic","Influenza","Admission to Discharge",45,NA
"46","Non-pandemic","Influenza","Admission to Discharge",46,5.66666666666667
"47","Non-pandemic","Influenza","Admission to Discharge",47,8.33333333333333
"48","Non-pandemic","Influenza","Admission to Discharge",48,NA
"49","Non-pandemic","Influenza","Admission to Discharge",49,NA
"50","Non-pandemic","Influenza","Admission to Discharge",50,10.3333333333333
"51","Non-pandemic","Influenza","Admission to Discharge",51,8.33333333333333
"52","Non-pandemic","Influenza","Admission to Discharge",52,NA
"53","Non-pandemic","Influenza","Admission to Discharge",53,NA
"54","Non-pandemic","Influenza","Admission to Discharge",54,7.66666666666667
